Algoritm,tid ms, antal element
Quicksort,8,100,
insertionSort,1,100,
Mergesort,1,100,
Quicksort,1,100,
insertionSort,70,100,
Mergesort,0,100,
Quicksort,0,100,
insertionSort,1,100,
Mergesort,0,100,
Quicksort,0,100,
insertionSort,0,100,
Mergesort,0,100,
Quicksort,0,100,
insertionSort,1,100,
Mergesort,0,100,
Quicksort,1,100,
insertionSort,1,100,
Mergesort,0,100,
Quicksort,0,100,
insertionSort,0,100,
Mergesort,0,100,
Quicksort,0,100,
insertionSort,5,100,
Mergesort,0,100,
Quicksort,1,100,
insertionSort,0,100,
Mergesort,0,100,
Quicksort,0,100,
insertionSort,0,100,
Mergesort,0,100,
Quicksort,0,1000,
insertionSort,40,1000,
Mergesort,0,1000,
Quicksort,2,1000,
insertionSort,12,1000,
Mergesort,1,1000,
Quicksort,1,1000,
insertionSort,3,1000,
Mergesort,1,1000,
Quicksort,1,1000,
insertionSort,3,1000,
Mergesort,0,1000,
Quicksort,0,1000,
insertionSort,4,1000,
Mergesort,1,1000,
Quicksort,0,1000,
insertionSort,2,1000,
Mergesort,0,1000,
Quicksort,1,1000,
insertionSort,4,1000,
Mergesort,0,1000,
Quicksort,0,1000,
insertionSort,4,1000,
Mergesort,1,1000,
Quicksort,3,1000,
insertionSort,25,1000,
Mergesort,3,1000,
Quicksort,0,1000,
insertionSort,3,1000,
Mergesort,2,1000,
Quicksort,5,10000,
insertionSort,423,10000,
Mergesort,18,10000,
Quicksort,20,10000,
insertionSort,326,10000,
Mergesort,20,10000,
Quicksort,12,10000,
insertionSort,267,10000,
Mergesort,1,10000,
Quicksort,2,10000,
insertionSort,151,10000,
Mergesort,2,10000,
Quicksort,1,10000,
insertionSort,163,10000,
Mergesort,2,10000,
Quicksort,2,10000,
insertionSort,161,10000,
Mergesort,2,10000,
Quicksort,1,10000,
insertionSort,148,10000,
Mergesort,2,10000,
Quicksort,1,10000,
insertionSort,155,10000,
Mergesort,2,10000,
Quicksort,1,10000,
insertionSort,146,10000,
Mergesort,2,10000,
Quicksort,1,10000,
insertionSort,168,10000,
Mergesort,2,10000,
Quicksort,19,100000,
insertionSort,15501,100000,
Mergesort,19,100000,
Quicksort,16,100000,
insertionSort,15551,100000,
Mergesort,19,100000,
Quicksort,17,100000,
insertionSort,15621,100000,
Mergesort,19,100000,
Quicksort,11,100000,
insertionSort,14906,100000,
Mergesort,19,100000,
Quicksort,11,100000,
insertionSort,14855,100000,
Mergesort,20,100000,
Quicksort,11,100000,
insertionSort,14970,100000,
Mergesort,19,100000,
Quicksort,11,100000,
insertionSort,14816,100000,
Mergesort,18,100000,
Quicksort,10,100000,
insertionSort,14825,100000,
Mergesort,20,100000,
Quicksort,11,100000,
insertionSort,15059,100000,
Mergesort,19,100000,
Quicksort,11,100000,
insertionSort,15467,100000,
Mergesort,20,100000,
