Algoritm,tid ms, antal element
Quicksort,4,100,
insertionSort,2,100,
Mergesort,0,100,
Quicksort,0,100,
insertionSort,0,100,
Mergesort,5,100,
Quicksort,1,100,
insertionSort,0,100,
Mergesort,1,100,
Quicksort,1,100,
insertionSort,0,100,
Mergesort,0,100,
Quicksort,0,100,
insertionSort,0,100,
Mergesort,0,100,
Quicksort,0,100,
insertionSort,0,100,
Mergesort,0,100,
Quicksort,0,100,
insertionSort,1,100,
Mergesort,0,100,
Quicksort,0,100,
insertionSort,1,100,
Mergesort,0,100,
Quicksort,0,100,
insertionSort,0,100,
Mergesort,0,100,
Quicksort,0,100,
insertionSort,0,100,
Mergesort,0,100,
Quicksort,1,1000,
insertionSort,30,1000,
Mergesort,0,1000,
Quicksort,0,1000,
insertionSort,7,1000,
Mergesort,1,1000,
Quicksort,0,1000,
insertionSort,4,1000,
Mergesort,1,1000,
Quicksort,1,1000,
insertionSort,3,1000,
Mergesort,0,1000,
Quicksort,0,1000,
insertionSort,3,1000,
Mergesort,1,1000,
Quicksort,0,1000,
insertionSort,4,1000,
Mergesort,1,1000,
Quicksort,0,1000,
insertionSort,3,1000,
Mergesort,1,1000,
Quicksort,0,1000,
insertionSort,5,1000,
Mergesort,0,1000,
Quicksort,1,1000,
insertionSort,4,1000,
Mergesort,1,1000,
Quicksort,0,1000,
insertionSort,3,1000,
Mergesort,9,1000,
